epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,11064.8,0.30344,0.35405,0.11334,0.9388,0.93361,0.94204,0.6399,0.33871,0.37083,0.15898,0.000742625,0.000742625,0.000742625
43,11327.6,0.29939,0.35268,0.11313,0.93946,0.94564,0.951,0.64408,0.33428,0.3681,0.15582,0.00073025,0.00073025,0.00073025
44,11589.7,0.29742,0.34893,0.11233,0.95491,0.93673,0.95299,0.64985,0.33207,0.367,0.15646,0.000717875,0.000717875,0.000717875
45,11853.5,0.29723,0.34699,0.11091,0.94599,0.93676,0.94687,0.64659,0.33582,0.3658,0.15901,0.0007055,0.0007055,0.0007055
46,12116.1,0.29317,0.34506,0.11085,0.94081,0.93881,0.94716,0.64409,0.33835,0.36882,0.15913,0.000693125,0.000693125,0.000693125
47,12378.8,0.29634,0.34682,0.111,0.9434,0.93232,0.94523,0.6418,0.33621,0.36934,0.15786,0.00068075,0.00068075,0.00068075
48,12641.7,0.29091,0.34467,0.10953,0.94824,0.94264,0.95119,0.64594,0.33554,0.36412,0.15798,0.000668375,0.000668375,0.000668375
49,12904.4,0.28987,0.34544,0.10851,0.94309,0.94693,0.94607,0.6459,0.33665,0.3648,0.15798,0.000656,0.000656,0.000656
50,13167.1,0.28733,0.34266,0.10969,0.94894,0.93551,0.94558,0.646,0.3396,0.36944,0.16275,0.000643625,0.000643625,0.000643625
51,13429.8,0.28911,0.34216,0.1066,0.94366,0.9439,0.95069,0.64775,0.33411,0.36844,0.15704,0.00063125,0.00063125,0.00063125
52,13692.5,0.28211,0.33796,0.10629,0.94396,0.94,0.95071,0.64918,0.33319,0.36755,0.15764,0.000618875,0.000618875,0.000618875
53,13954.9,0.28254,0.33948,0.10473,0.94997,0.94931,0.95547,0.65283,0.33275,0.36327,0.15409,0.0006065,0.0006065,0.0006065
54,14218.2,0.28243,0.33945,0.10626,0.94804,0.94659,0.95059,0.65239,0.33193,0.36279,0.15656,0.000594125,0.000594125,0.000594125
55,14480.7,0.27879,0.33586,0.10127,0.94899,0.94163,0.95211,0.64881,0.33482,0.36546,0.1586,0.00058175,0.00058175,0.00058175
56,14742.9,0.27805,0.33622,0.10442,0.95231,0.95221,0.95526,0.65172,0.33359,0.36297,0.15829,0.000569375,0.000569375,0.000569375
57,15005.5,0.27589,0.33433,0.10195,0.94839,0.9358,0.94991,0.64467,0.33592,0.36826,0.15657,0.000557,0.000557,0.000557
58,15268,0.27201,0.33375,0.10261,0.95163,0.94195,0.95295,0.64658,0.33486,0.36728,0.15769,0.000544625,0.000544625,0.000544625
59,15530.1,0.27347,0.33398,0.10099,0.94715,0.93846,0.94718,0.64778,0.33374,0.37817,0.1577,0.00053225,0.00053225,0.00053225
60,15792.4,0.27231,0.33441,0.10173,0.94837,0.94084,0.9501,0.65009,0.33098,0.36612,0.15324,0.000519875,0.000519875,0.000519875
61,16054.7,0.27239,0.33171,0.10204,0.94521,0.93561,0.94326,0.64543,0.33493,0.36892,0.15631,0.0005075,0.0005075,0.0005075
62,16316.7,0.2683,0.32889,0.10095,0.94925,0.94408,0.94916,0.64728,0.33127,0.37114,0.15571,0.000495125,0.000495125,0.000495125
63,16578.9,0.26662,0.32826,0.09863,0.95177,0.94548,0.95472,0.65268,0.33255,0.36831,0.15597,0.00048275,0.00048275,0.00048275
64,16841.1,0.26748,0.33041,0.09939,0.95338,0.94251,0.95216,0.6489,0.3315,0.37116,0.15743,0.000470375,0.000470375,0.000470375
65,17102.9,0.26113,0.32667,0.09817,0.94859,0.94715,0.94943,0.64941,0.32979,0.37113,0.15452,0.000458,0.000458,0.000458
66,17365.1,0.26748,0.32719,0.0987,0.9438,0.95077,0.95269,0.64982,0.33246,0.36683,0.15639,0.000445625,0.000445625,0.000445625
67,17627.6,0.2634,0.32488,0.09768,0.94577,0.94273,0.94883,0.65068,0.33079,0.37014,0.15503,0.00043325,0.00043325,0.00043325
68,17890.4,0.26117,0.32254,0.09672,0.95428,0.9416,0.95159,0.64692,0.33458,0.36639,0.15823,0.000420875,0.000420875,0.000420875
